,Estado,Longitude,Latitude
0,Rondônia,-11.474053,-62.226545
1,Rondônia,-11.474053,-62.226545
2,Rondônia,-11.474053,-62.226545
3,Rondônia,-11.474053,-62.226545
4,Rondônia,-11.474053,-62.226545
5,Rondônia,-11.474053,-62.226545
6,Rondônia,-11.474053,-62.226545
7,Rondônia,-11.474053,-62.226545
8,Rondônia,-11.474053,-62.226545
9,Rondônia,-11.474053,-62.226545
10,Acre,-9.49865,-69.629581
11,Acre,-9.49865,-69.629581
12,Acre,-9.49865,-69.629581
13,Acre,-9.49865,-69.629581
14,Acre,-9.49865,-69.629581
15,Acre,-9.49865,-69.629581
16,Acre,-9.49865,-69.629581
17,Acre,-9.49865,-69.629581
18,Acre,-9.49865,-69.629581
19,Acre,-9.49865,-69.629581
20,Amazonas,-3.976318,-64.399382
21,Amazonas,-3.976318,-64.399382
22,Amazonas,-3.976318,-64.399382
23,Amazonas,-3.976318,-64.399382
24,Amazonas,-3.976318,-64.399382
25,Amazonas,-3.976318,-64.399382
26,Amazonas,-3.976318,-64.399382
27,Amazonas,-3.976318,-64.399382
28,Amazonas,-3.976318,-64.399382
29,Amazonas,-3.976318,-64.399382
30,Roraima,2.148823,-61.412437
31,Roraima,2.148823,-61.412437
32,Roraima,2.148823,-61.412437
33,Roraima,2.148823,-61.412437
34,Roraima,2.148823,-61.412437
35,Roraima,2.148823,-61.412437
36,Roraima,2.148823,-61.412437
37,Roraima,2.148823,-61.412437
38,Roraima,2.148823,-61.412437
39,Roraima,2.148823,-61.412437
40,Pará,-4.239015,-52.218322
41,Pará,-4.239015,-52.218322
42,Pará,-4.239015,-52.218322
43,Pará,-4.239015,-52.218322
44,Pará,-4.239015,-52.218322
45,Pará,-4.239015,-52.218322
46,Pará,-4.239015,-52.218322
47,Pará,-4.239015,-52.218322
48,Pará,-4.239015,-52.218322
49,Pará,-4.239015,-52.218322
50,Amapá,2.406605,-51.428199
51,Amapá,2.406605,-51.428199
52,Amapá,2.406605,-51.428199
53,Amapá,2.406605,-51.428199
54,Amapá,2.406605,-51.428199
55,Amapá,2.406605,-51.428199
56,Amapá,2.406605,-51.428199
57,Amapá,2.406605,-51.428199
58,Amapá,2.406605,-51.428199
59,Amapá,2.406605,-51.428199
60,Tocantins,-9.596869,-48.201864
61,Tocantins,-9.596869,-48.201864
62,Tocantins,-9.596869,-48.201864
63,Tocantins,-9.596869,-48.201864
64,Tocantins,-9.596869,-48.201864
65,Tocantins,-9.596869,-48.201864
66,Tocantins,-9.596869,-48.201864
67,Tocantins,-9.596869,-48.201864
68,Tocantins,-9.596869,-48.201864
69,Tocantins,-9.596869,-48.201864
70,Maranhão,-4.042,-45.107216
71,Maranhão,-4.042,-45.107216
72,Maranhão,-4.042,-45.107216
73,Maranhão,-4.042,-45.107216
74,Maranhão,-4.042,-45.107216
75,Maranhão,-4.042,-45.107216
76,Maranhão,-4.042,-45.107216
77,Maranhão,-4.042,-45.107216
78,Maranhão,-4.042,-45.107216
79,Maranhão,-4.042,-45.107216
80,Piauí,-6.995318,-41.807852
81,Piauí,-6.995318,-41.807852
82,Piauí,-6.995318,-41.807852
83,Piauí,-6.995318,-41.807852
84,Piauí,-6.995318,-41.807852
85,Piauí,-6.995318,-41.807852
86,Piauí,-6.995318,-41.807852
87,Piauí,-6.995318,-41.807852
88,Piauí,-6.995318,-41.807852
89,Piauí,-6.995318,-41.807852
90,Ceará,-4.354732,-39.712723
91,Ceará,-4.354732,-39.712723
92,Ceará,-4.354732,-39.712723
93,Ceará,-4.354732,-39.712723
94,Ceará,-4.354732,-39.712723
95,Ceará,-4.354732,-39.712723
96,Ceará,-4.354732,-39.712723
97,Ceará,-4.354732,-39.712723
98,Ceará,-4.354732,-39.712723
99,Ceará,-4.354732,-39.712723
100,Rio Grande do Norte,-5.607038,-36.8261
101,Rio Grande do Norte,-5.607038,-36.8261
102,Rio Grande do Norte,-5.607038,-36.8261
103,Rio Grande do Norte,-5.607038,-36.8261
104,Rio Grande do Norte,-5.607038,-36.8261
105,Rio Grande do Norte,-5.607038,-36.8261
106,Rio Grande do Norte,-5.607038,-36.8261
107,Rio Grande do Norte,-5.607038,-36.8261
108,Rio Grande do Norte,-5.607038,-36.8261
109,Rio Grande do Norte,-5.607038,-36.8261
110,Paraíba,-6.950165,-35.588089
111,Paraíba,-6.950165,-35.588089
112,Paraíba,-6.950165,-35.588089
113,Paraíba,-6.950165,-35.588089
114,Paraíba,-6.950165,-35.588089
115,Paraíba,-6.950165,-35.588089
116,Paraíba,-6.950165,-35.588089
117,Paraíba,-6.950165,-35.588089
118,Paraíba,-6.950165,-35.588089
119,Paraíba,-6.950165,-35.588089
120,Pernambuco,-8.140122,-37.779227
121,Pernambuco,-8.140122,-37.779227
122,Pernambuco,-8.140122,-37.779227
123,Pernambuco,-8.140122,-37.779227
124,Pernambuco,-8.140122,-37.779227
125,Pernambuco,-8.140122,-37.779227
126,Pernambuco,-8.140122,-37.779227
127,Pernambuco,-8.140122,-37.779227
128,Pernambuco,-8.140122,-37.779227
129,Pernambuco,-8.140122,-37.779227
130,Alagoas,-9.521841,-36.039082
131,Alagoas,-9.521841,-36.039082
132,Alagoas,-9.521841,-36.039082
133,Alagoas,-9.521841,-36.039082
134,Alagoas,-9.521841,-36.039082
135,Alagoas,-9.521841,-36.039082
136,Alagoas,-9.521841,-36.039082
137,Alagoas,-9.521841,-36.039082
138,Alagoas,-9.521841,-36.039082
139,Alagoas,-9.521841,-36.039082
140,Sergipe,-8.263146,-35.510823
141,Sergipe,-8.263146,-35.510823
142,Sergipe,-8.263146,-35.510823
143,Sergipe,-8.263146,-35.510823
144,Sergipe,-8.263146,-35.510823
145,Sergipe,-8.263146,-35.510823
146,Sergipe,-8.263146,-35.510823
147,Sergipe,-8.263146,-35.510823
148,Sergipe,-8.263146,-35.510823
149,Sergipe,-8.263146,-35.510823
150,Bahia,-12.197327,-40.191427
151,Bahia,-12.197327,-40.191427
152,Bahia,-12.197327,-40.191427
153,Bahia,-12.197327,-40.191427
154,Bahia,-12.197327,-40.191427
155,Bahia,-12.197327,-40.191427
156,Bahia,-12.197327,-40.191427
157,Bahia,-12.197327,-40.191427
158,Bahia,-12.197327,-40.191427
159,Bahia,-12.197327,-40.191427
160,Minas Gerais,-18.824095,-44.0345
161,Minas Gerais,-18.824095,-44.0345
162,Minas Gerais,-18.824095,-44.0345
163,Minas Gerais,-18.824095,-44.0345
164,Minas Gerais,-18.824095,-44.0345
165,Minas Gerais,-18.824095,-44.0345
166,Minas Gerais,-18.824095,-44.0345
167,Minas Gerais,-18.824095,-44.0345
168,Minas Gerais,-18.824095,-44.0345
169,Minas Gerais,-18.824095,-44.0345
170,Espírito Santo,-19.768337,-40.3565
171,Espírito Santo,-19.768337,-40.3565
172,Espírito Santo,-19.768337,-40.3565
173,Espírito Santo,-19.768337,-40.3565
174,Espírito Santo,-19.768337,-40.3565
175,Espírito Santo,-19.768337,-40.3565
176,Espírito Santo,-19.768337,-40.3565
177,Espírito Santo,-19.768337,-40.3565
178,Espírito Santo,-19.768337,-40.3565
179,Espírito Santo,-19.768337,-40.3565
180,Rio de Janeiro,-22.7641,-42.1726
